/home/zmwang/storage/miniconda3/envs/llama_factory/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:795: UserWarning: You are using a Backend <class 'torch.distributed.distributed_c10d.ProcessGroupGloo'> as a ProcessGroup. This usage is deprecated since PyTorch 2.0. Please use a public API of PyTorch Distributed instead.
  warnings.warn(
Initializing ParallelNet on worker 0...
Creating remote SubNetConv on worker1...
Creating remote SubNetFC on worker2...
ParallelNet initialization complete.
Device 0 starts training ...
[Epoch 0] step 0, loss = 2.2968
[Epoch 0] step 100, loss = 2.2888
[Epoch 0] step 200, loss = 2.2646
[Epoch 0] step 300, loss = 2.1952
[Epoch 0] step 400, loss = 1.9533
[Epoch 0] step 500, loss = 0.9975
[Epoch 0] step 600, loss = 0.5605
[Epoch 0] step 700, loss = 0.4963
[Epoch 0] step 800, loss = 0.2713
[Epoch 0] step 900, loss = 0.2178
[Epoch 0] step 1000, loss = 0.2098
[Epoch 0] step 1100, loss = 0.3847
[Epoch 0] step 1200, loss = 0.2685
[Epoch 0] step 1300, loss = 0.2820
[Epoch 0] step 1400, loss = 0.1409
[Epoch 0] step 1500, loss = 0.2418
[Epoch 0] step 1600, loss = 0.2107
[Epoch 0] step 1700, loss = 0.2942
[Epoch 0] step 1800, loss = 0.0946
[Epoch 1] step 0, loss = 0.2668
[Epoch 1] step 100, loss = 0.1302
[Epoch 1] step 200, loss = 0.1043
[Epoch 1] step 300, loss = 0.1629
[Epoch 1] step 400, loss = 0.1244
[Epoch 1] step 500, loss = 0.1390
[Epoch 1] step 600, loss = 0.1629
[Epoch 1] step 700, loss = 0.1062
[Epoch 1] step 800, loss = 0.1144
[Epoch 1] step 900, loss = 0.0689
[Epoch 1] step 1000, loss = 0.1021
[Epoch 1] step 1100, loss = 0.0779
[Epoch 1] step 1200, loss = 0.2150
[Epoch 1] step 1300, loss = 0.0785
[Epoch 1] step 1400, loss = 0.1518
[Epoch 1] step 1500, loss = 0.1429
[Epoch 1] step 1600, loss = 0.1719
[Epoch 1] step 1700, loss = 0.0858
[Epoch 1] step 1800, loss = 0.1007
Training Finished!
testing ...

Test set: Accuracy: 9690/10000 (96.90%)

Progress start on the worker0...
